responseTime,time,violation,http_request_size_bytes_count,node_hwmon_in_volts,node_netstat_Icmp6_OutRouterSolicits,node_procs_blocked,node_sockstat_TCP_alloc,node_vmstat_pageoutrun,scrape_samples_scraped,node_netstat_TcpExt_DelayedACKs,prometheus_tsdb_head_series_created_total,prometheus_tsdb_head_series,node_vmstat_nr_dirty_background_threshold,node_netstat_IpExt_InMcastOctets,node_netstat_IpExt_OutMcastOctets,node_vmstat_kswapd_inodesteal,node_vmstat_pglazyfreed,node_netstat_TcpExt_TWRecycled,node_network_transmit_packets,node_vmstat_pgmigrate_success,node_vmstat_pglazyfree
107.0,1583943954,0,118.0,13.2,0,0,0,0,0,0,2691.0,2691.0,0,0,0,0,0,0,0,0,0
107.0,1583943955,0,118.0,13.2,237.0,0.0,0.0,0.0,0.0,0.0,2691.0,2691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107.0,1583943956,0,118.0,13.2,237.0,0.0,0.0,0.0,0.0,0.0,2691.0,2691.0,0.0,25550.0,58118.0,0.0,0.0,0.0,0.0,0.0,0.0
107.0,1583943966,0,118.0,13.2,237.0,0.0,0.0,0.0,1420.0,1428.0,2691.0,2691.0,0.0,25550.0,58118.0,0.0,0.0,0.0,0.0,0.0,0.0
107.0,1583943967,0,118.0,13.2,237.0,1.0,588.0,0.0,1420.0,1428.0,2691.0,2691.0,8403.0,25550.0,58118.0,53202.0,0.0,92001.0,161292.47619,0.0,0.0
56.5,1583943968,0,119.0,13.2,237.0,1.0,588.0,680.0,1420.0,1428.0,2695.0,2695.0,8403.0,25550.0,58118.0,53202.0,87443.0,92001.0,161292.47619,122905.0,227998.0
56.5,1583943969,0,119.0,13.2,239.0,1.0,588.0,680.0,1420.0,1428.0,2695.0,2695.0,8403.0,25550.0,58118.0,53202.0,87443.0,92001.0,161292.47619,122905.0,227998.0
56.5,1583943978,0,119.0,13.2,239.0,1.0,588.0,680.0,1420.0,1432.0,2695.0,2695.0,8403.0,25550.0,58118.0,53202.0,87443.0,92812.0,161292.47619,122905.0,227998.0
56.5,1583943979,0,119.0,13.2,239.0,5.0,547.0,695.0,1420.0,1432.0,2695.0,2695.0,9197.0,25550.0,58118.0,53214.0,89790.0,92812.0,168556.904762,134888.0,230495.0
56.5,1583943980,0,119.0,13.2,239.0,5.0,547.0,695.0,1420.0,1432.0,2695.0,2695.0,9197.0,25550.0,58118.0,53214.0,89790.0,92812.0,168556.904762,134888.0,230495.0
56.5,1583943981,0,119.0,13.2,239.0,5.0,547.0,695.0,1420.0,1432.0,2695.0,2695.0,9197.0,25550.0,58118.0,53214.0,89790.0,92812.0,168556.904762,134888.0,230495.0
54.0,1583943982,0,120.0,13.2,239.0,5.0,547.0,695.0,1420.0,1432.0,2695.0,2695.0,9197.0,25550.0,58118.0,53214.0,89790.0,92812.0,168556.904762,134888.0,230495.0
54.0,1583943983,0,120.0,13.2,239.0,5.0,547.0,695.0,1420.0,1432.0,2695.0,2695.0,9197.0,25550.0,58118.0,53214.0,89790.0,92812.0,168556.904762,134888.0,230495.0
54.0,1583943987,0,120.0,13.2,239.0,5.0,547.0,695.0,1420.0,1432.0,2695.0,2695.0,9197.0,25550.0,58118.0,53214.0,89790.0,92812.0,168556.904762,134888.0,230495.0
54.0,1583943988,0,120.0,13.2,239.0,5.0,547.0,695.0,1420.0,1432.0,2695.0,2695.0,9197.0,25550.0,58118.0,53214.0,89790.0,93655.0,168556.904762,134888.0,230495.0
54.0,1583943989,0,120.0,13.2,239.0,1.0,322.0,705.0,1420.0,1432.0,2695.0,2695.0,10373.0,25550.0,58118.0,53222.0,90943.0,93655.0,175676.809524,134888.0,232376.0
54.0,1583943992,0,120.0,13.2,239.0,1.0,322.0,705.0,1420.0,1432.0,2695.0,2695.0,10373.0,25550.0,58118.0,53222.0,90943.0,93655.0,175676.809524,134888.0,232376.0
54.0,1583943993,0,120.0,13.2,239.0,1.0,322.0,705.0,1420.0,1432.0,2695.0,2695.0,10373.0,25550.0,58118.0,53222.0,90943.0,93655.0,175676.809524,134888.0,232376.0
54.5,1583943994,0,121.0,13.202,239.0,1.0,322.0,705.0,1420.0,1432.0,2695.0,2695.0,10373.0,25550.0,58118.0,53222.0,90943.0,93655.0,175676.809524,134888.0,232376.0
54.5,1583943995,0,121.0,13.202,239.0,1.0,322.0,705.0,1420.0,1432.0,2695.0,2695.0,10373.0,25550.0,58118.0,53222.0,90943.0,93655.0,175676.809524,134888.0,232376.0
54.5,1583943997,0,121.0,13.202,239.0,1.0,322.0,705.0,1420.0,1432.0,2695.0,2695.0,10373.0,25550.0,58118.0,53222.0,90943.0,93655.0,175676.809524,134888.0,232376.0
54.5,1583943998,0,121.0,13.202,239.0,0.0,272.0,705.0,1420.0,1432.0,2695.0,2695.0,10373.0,25550.0,58118.0,53222.0,90943.0,94450.0,183073.761905,134888.0,232376.0
54.5,1583943999,0,121.0,13.202,239.0,0.0,272.0,708.0,1420.0,1432.0,2695.0,2695.0,10936.0,25550.0,58118.0,53229.0,91528.0,94450.0,183073.761905,134888.0,233705.0
54.5,1583944004,0,121.0,13.202,239.0,0.0,272.0,708.0,1420.0,1432.0,2695.0,2695.0,10936.0,25550.0,58118.0,53229.0,91528.0,94450.0,183073.761905,134888.0,233705.0
